"","fn","ov_db","ov_dc","ov_de","threshold"
"1","1/as-22july06.gml",0.91304347826087,0.782608695652174,0.695652173913043,0.001
"2","1/as-22july06.gml",0.826086956521739,0.804347826086957,0.804347826086957,0.002
"3","1/as-22july06.gml",0.840579710144927,0.710144927536232,0.739130434782609,0.003
"4","1/as-22july06.gml",0.804347826086957,0.652173913043478,0.717391304347826,0.004
"5","1/as-22july06.gml",0.791304347826087,0.608695652173913,0.643478260869565,0.005
"6","1/as-22july06.gml",0.797101449275362,0.579710144927536,0.630434782608696,0.006
"7","1/as-22july06.gml",0.757763975155279,0.565217391304348,0.602484472049689,0.007
"8","1/as-22july06.gml",0.760869565217391,0.554347826086957,0.576086956521739,0.008
"9","1/as-22july06.gml",0.763285024154589,0.550724637681159,0.545893719806763,0.009
"10","1/as-22july06.gml",0.78695652173913,0.543478260869565,0.517391304347826,0.01
"11","1/as-22july06.gml",0.793478260869565,0.493478260869565,0.519565217391304,0.02
"12","1/as-22july06.gml",0.788098693759071,0.470246734397678,0.518142235123367,0.03
"13","1/as-22july06.gml",0.760609357997824,0.46354733405876,0.52557127312296,0.04
"14","1/as-22july06.gml",0.771105308964317,0.426457789382071,0.517841601392515,0.05
"15","1/as-22july06.gml",0.758345428156749,0.436865021770682,0.514513788098694,0.06
"16","1/as-22july06.gml",0.765547263681592,0.444651741293532,0.493781094527363,0.07
"17","1/as-22july06.gml",0.757889009793254,0.436887921653972,0.469532100108814,0.08
"18","1/as-22july06.gml",0.725205611998065,0.439283986453798,0.477503628447025,0.09
"19","1/as-22july06.gml",0.710491946016543,0.439268611232042,0.461471484545059,0.1
"20","1/as-caida20071015.txt",0.851851851851852,0.703703703703704,0.851851851851852,0.001
"21","1/as-caida20071015.txt",0.830188679245283,0.716981132075472,0.735849056603774,0.002
"22","1/as-caida20071015.txt",0.822784810126582,0.607594936708861,0.658227848101266,0.003
"23","1/as-caida20071015.txt",0.839622641509434,0.613207547169811,0.622641509433962,0.004
"24","1/as-caida20071015.txt",0.787878787878788,0.568181818181818,0.583333333333333,0.005
"25","1/as-caida20071015.txt",0.759493670886076,0.525316455696203,0.563291139240506,0.006
"26","1/as-caida20071015.txt",0.766304347826087,0.510869565217391,0.548913043478261,0.007
"27","1/as-caida20071015.txt",0.805687203791469,0.516587677725118,0.554502369668246,0.008
"28","1/as-caida20071015.txt",0.810126582278481,0.510548523206751,0.535864978902954,0.009
"29","1/as-caida20071015.txt",0.806083650190114,0.494296577946768,0.532319391634981,0.01
"30","1/as-caida20071015.txt",0.806083650190114,0.47148288973384,0.507604562737643,0.02
"31","1/as-caida20071015.txt",0.794416243654822,0.491116751269036,0.519035532994924,0.03
"32","1/as-caida20071015.txt",0.771646051379638,0.468125594671741,0.520456707897241,0.04
"33","1/as-caida20071015.txt",0.782939832444783,0.473724295506474,0.530845392231531,0.05
"34","1/as-caida20071015.txt",0.765228426395939,0.483502538071066,0.513959390862944,0.06
"35","1/as-caida20071015.txt",0.768352365415987,0.485046220772159,0.490483958673192,0.07
"36","1/as-caida20071015.txt",0.762970014278915,0.476439790575916,0.483579247977154,0.08
"37","1/as-caida20071015.txt",0.725888324873096,0.488155668358714,0.486463620981387,0.09
"38","1/as-caida20071015.txt",0.698019801980198,0.493526275704494,0.491622239146992,0.1
"39","1/as-caida20071022.txt",0.888888888888889,0.703703703703704,0,0.001
"40","1/as-caida20071022.txt",0.811320754716981,0.679245283018868,0,0.002
"41","1/as-caida20071022.txt",0.825,0.6125,0,0.003
"42","1/as-caida20071022.txt",0.80188679245283,0.60377358490566,0,0.004
"43","1/as-caida20071022.txt",0.787878787878788,0.568181818181818,0,0.005
"44","1/as-caida20071022.txt",0.767295597484277,0.528301886792453,0,0.006
"45","1/as-caida20071022.txt",0.762162162162162,0.540540540540541,0,0.007
"46","1/as-caida20071022.txt",0.805687203791469,0.516587677725118,0,0.008
"47","1/as-caida20071022.txt",0.80672268907563,0.495798319327731,0,0.009
"48","1/as-caida20071022.txt",0.810606060606061,0.496212121212121,0,0.01
"49","1/as-caida20071022.txt",0.801136363636364,0.46969696969697,0,0.02
"50","1/as-caida20071022.txt",0.805555555555556,0.476010101010101,0,0.03
"51","1/as-caida20071022.txt",0.776303317535545,0.446445497630332,0.000947867298578199,0.04
"52","1/as-caida20071022.txt",0.793783169067475,0.4579226686884,0.000758150113722517,0.05
"53","1/as-caida20071022.txt",0.776373973468099,0.471257106759318,0.00189513581806696,0.06
"54","1/as-caida20071022.txt",0.775731310942579,0.47453954496208,0.00216684723726977,0.07
"55","1/as-caida20071022.txt",0.766350710900474,0.459715639810427,0.0028436018957346,0.08
"56","1/as-caida20071022.txt",0.732940185341196,0.470935130581297,0.0029486099410278,0.09
"57","1/as-caida20071022.txt",0.700037921880925,0.472506636329162,0.00417140690178233,0.1
